Data,Hora,Temperatura Externa,Temperatura Maxima,Temperatura Minima,Umidade do Ar Externa,Ponto de Orvalho,Velocidade do vento,Direção do Vento,Deslocamento de Massa de Ar,Velocidade do Vento Maxima,Direção de Maxima Velocidade do Vento,Sensação Térmica em relação ao vento,Sensação Térmica Temp + Umid,Sensação Térmica Temp + Umid + Vento,Sensação Térmica Temp + Umid + Vento + Sol,Pressão Atmosférica (Barômetro),"Pluviômetro (Chuva ) 
mm",Intensidade de Chuva,Radiação Solar (Wm2),Energia Solar,Radiação Solar Maxima,Aquecimento diário em graus (C°),Resfriamento diário em graus (C°),Temperatura Interna,Umidade Interna,Ponto de Orvalho (Interno),Aquecimento diário em graus (Interno),Teor de Umidade de Equilíbrio,Densidade do Ar,Evapotranspiração,Amostra de potência de sinal (ISS),Taxa de velocidade do vento (ISS),Potência de Sinal (ISS),Intervalo de registro
Date,Time,Temp Out,Hi Temp,Low Temp,Out Hum,Dew Pt.,Wind Speed,Wind Dir,Wind Run,Hi Speed,Hi Dir,Wind Chill,Heat Index,TWH Index,THSW Index,Bar  ,Rain,Rain Rate,Solar Rad.,Solar Energy,Hi Solar Rad.,Heat D-D,Cool D-D,In Temp.,In Hum.,In Dew,In Heat,In EMC,In Air Density,ET ,Wind Samp,Wind Tx,ISS Recept,Arc. Int
2023-04-14 00:00:00,13:00:00,27.1,27.5,27,75,22.2,0.9,NW,3.22,2.7,W,27.1,29.7,29.7,---,929.8,0,0,517,44.47,687,0,363,23.9,61,16,24.2,11.05,1.0696,0.46,425,1,31.1,60
2023-04-14 00:00:00,14:00:00,25.8,27.1,25.6,82,22.5,2.2,NW,8.05,4.5,NNW,25.8,27.9,27.9,---,928.9,0,0,301,25.89,448,0,310,25.2,62,17.4,25.6,11.2,1.0621,0.23,1403,1,100,60
2023-04-14 00:00:00,15:00:00,25.6,25.8,25.6,79,21.7,2.2,NNW,8.05,4.5,NW,25.6,27.4,27.4,---,927.9,0,0,339,29.16,431,0,303,25.7,63,18.1,26.3,11.39,1.0582,0.25,1399,1,100,60
2023-04-14 00:00:00,16:00:00,25.6,25.8,25.5,81,22.1,1.8,NNW,6.44,4,NE,25.6,27.4,27.4,---,927.5,0,0,270,23.22,299,0,301,25.9,69,19.8,27.1,12.61,1.0542,0.2,1380,1,100,60
2023-04-14 00:00:00,17:00:00,25,25.6,24.9,84,22.1,1.8,NNW,6.44,4,N,25,26.7,26.7,---,927.4,0,0,175,15.05,220,0,278,26.2,68,19.8,27.4,12.39,1.0531,0.13,1391,1,100,60
2023-04-14 00:00:00,18:00:00,24.1,25,24.1,89,22.1,1.8,NNW,6.44,4,NNW,24.1,25.6,25.6,---,928,0,0,70,6.02,125,0,238,24.1,55,14.5,24.2,10.04,1.0691,0.05,1396,1,100,60
2023-04-14 00:00:00,19:00:00,23.3,24.1,23.2,90,21.5,1.8,NNW,6.44,4.5,NNW,23.3,24.5,24.5,---,928.3,0,0,5,0.43,25,0,206,24.2,62,16.4,24.5,11.24,1.0664,0.03,1400,1,100,60
2023-04-14 00:00:00,20:00:00,22.9,23.3,22.9,91,21.3,0.9,NNW,3.22,2.2,N,22.9,24.1,24.1,---,929,0,0,0,0,0,0,190,24.8,64,17.5,25.3,11.62,1.0635,0,1384,1,100,60
2023-04-14 00:00:00,21:00:00,22.7,22.9,22.7,90,21,0.9,NNE,3.22,1.8,NNE,22.7,23.9,23.9,---,930.3,0,0,0,0,0,0,183,24.9,65,17.9,25.6,11.81,1.0638,0.03,1395,1,100,60
2023-04-14 00:00:00,22:00:00,22.4,22.7,22.4,92,21.1,0.9,NNW,3.22,2.7,NNW,22.4,23.7,23.7,---,930.4,0,0,0,0,0,0,171,25.1,66,18.3,25.7,12.01,1.063,0,1400,1,100,60
2023-04-14 00:00:00,23:00:00,22.2,22.4,22.2,93,21,1.3,NNW,4.83,2.7,NNW,22.2,23.5,23.5,---,930.2,0,0,0,0,0,0,162,25.1,67,18.6,25.9,12.21,1.0622,0,1394,1,100,60
2023-04-15 00:00:00,00:00:00,22,22.2,22,94,21,1.3,NNW,4.83,2.7,NNW,22,23.4,23.4,---,930.5,0,0,0,0,0,0,153,25.1,68,18.8,25.9,12.46,1.0621,0,1389,1,100,60
2023-04-15 00:00:00,01:00:00,21.9,22,21.9,95,21.1,1.3,NNW,4.83,2.2,NNW,21.9,23.4,23.4,---,930.4,0,0,0,0,0,0,150,25.1,68,18.8,25.9,12.46,1.062,0,1397,1,100,60
2023-04-15 00:00:00,02:00:00,21.9,22,21.9,95,21.1,1.3,NNW,4.83,1.8,NW,21.9,23.4,23.4,---,929.8,0,0,0,0,0,0,150,25.1,68,18.8,25.9,12.46,1.0612,0,1398,1,100,60
2023-04-15 00:00:00,03:00:00,21.8,22.1,21.8,95,21,0.9,NNW,3.22,2.2,NNW,21.8,23.3,23.3,---,929.7,0,0,0,0,0,0,146,25.2,69,19.1,26.1,12.66,1.0605,0,1401,1,100,60
2023-04-15 00:00:00,04:00:00,21.7,21.9,21.6,95,20.8,0.9,NW,3.22,1.8,NW,21.7,23.1,23.1,---,929.9,0,0,0,0,0,0,139,25.1,69,19,26,12.66,1.061,0,1397,1,100,60
2023-04-15 00:00:00,05:00:00,21.5,21.7,21.5,95,20.7,0.4,NNE,1.61,0.9,NNE,21.5,22.9,22.9,---,929.9,0,0,0,0,0,0,132,25.1,70,19.3,26.1,12.91,1.0606,0,1399,1,100,60
2023-04-15 00:00:00,06:00:00,21.3,21.6,21.3,96,20.7,0.9,NW,3.22,1.8,NW,21.3,22.8,22.8,---,930,0,0,0,0,0,0,125,25.1,70,19.2,25.9,12.91,1.0611,0,1401,1,100,60
2023-04-15 00:00:00,07:00:00,21.2,21.3,21.1,97,20.7,0.9,NNW,3.22,1.8,NNW,21.2,22.7,22.7,---,930.8,0,0,3,0.26,19,0,118,25.1,70,19.2,25.9,12.91,1.062,0,1397,1,100,60
2023-04-15 00:00:00,08:00:00,22.8,22.8,21.1,94,21.8,1.3,NW,4.83,2.7,NNW,22.8,24.1,24.1,---,931.4,0,0,92,7.91,169,0,185,25.3,70,19.4,26.3,12.9,1.0616,0.05,1398,1,100,60
2023-04-15 00:00:00,09:00:00,24.7,24.7,22.7,87,22.4,1.8,WNW,6.44,4,NW,24.7,26.3,26.3,---,932.2,0,0,300,25.8,415,0,264,25.6,70,19.7,26.7,12.89,1.061,0.2,1402,1,100,60
2023-04-15 00:00:00,10:00:00,26.1,26.1,24.7,80,22.3,1.8,WNW,6.44,4,WNW,26.1,28.3,28.3,---,932.4,0,0,477,41.03,540,0,322,25.7,70,19.8,26.9,12.88,1.0604,0.36,1400,1,100,60
2023-04-15 00:00:00,11:00:00,27.7,27.7,26.1,73,22.4,1.8,W,6.44,4.9,SW,27.7,30.6,30.6,---,932.3,0,0,634,54.53,779,0,389,25.8,70,19.9,27.1,12.88,1.0598,0.48,1399,1,100,60
2023-04-15 00:00:00,12:00:00,28.5,28.6,27.7,66,21.5,2.2,SW,8.05,5.4,SW,28.5,31.2,31.2,---,931.8,0,0,773,66.49,898,0,424,25.9,71,20.2,27.3,13.11,1.0585,0.58,1403,1,100,60
2023-04-15 00:00:00,13:00:00,28.8,29.3,28.3,62,20.8,1.3,W,4.83,4,SSW,28.8,31,31,---,930.8,0,0,737,63.39,970,0,435,25.9,71,20.2,27.3,13.11,1.0574,0.56,1403,1,100,60
2023-04-15 00:00:00,14:00:00,24.7,29.7,24.6,80,21,3.1,SSW,11.27,7.6,WSW,24.7,26.1,26.1,---,930.2,0,0,419,36.04,1034,0,264,25.8,71,20.1,27.1,13.11,1.0573,0.38,1402,1,100,60
2023-04-15 00:00:00,15:00:00,27.4,27.4,24.7,69,21.2,1.8,SSW,6.44,4,S,27.4,29.6,29.6,---,929.2,0,0,424,36.47,642,0,377,25.8,71,20.1,27.1,13.11,1.056,0.33,1402,1,100,60
2023-04-15 00:00:00,16:00:00,27.4,27.6,27.4,63,19.8,1.3,SW,4.83,4,SSW,27.4,28.8,28.8,---,928.8,0,0,201,17.29,323,0,380,25.7,72,20.2,27,13.36,1.0557,0.18,1401,1,100,60
2023-04-15 00:00:00,17:00:00,26,27.5,25.9,77,21.7,0.9,ENE,3.22,2.2,WSW,26,27.9,27.9,---,929,0,0,63,5.42,93,0,319,25.6,72,20.1,26.8,13.37,1.0565,0.05,1405,1,100,60
2023-04-15 00:00:00,18:00:00,25,26,25,82,21.7,0.9,NE,3.22,2.7,NE,25,26.6,26.6,---,929.3,0,0,31,2.67,46,0,278,25.4,72,20,26.6,13.39,1.0578,0.03,1400,1,100,60
2023-04-15 00:00:00,19:00:00,24,25,23.9,86,21.5,0.9,NE,3.22,2.2,NE,24,25.4,25.4,---,929.5,0,0,3,0.26,16,0,236,25.3,73,20.1,26.6,13.7,1.058,0.03,1397,1,100,60
2023-04-15 00:00:00,20:00:00,23.6,24.1,23.6,88,21.5,0.9,NNW,3.22,4,WSW,23.6,24.9,24.9,---,930.2,0,0,0,0,0,0,220,25.2,73,20,26.4,13.7,1.0594,0.03,1401,1,100,60
2023-04-15 00:00:00,21:00:00,23.3,23.6,23.2,88,21.2,0.4,N,1.61,2.7,WNW,23.3,24.4,24.4,---,930.5,0,0,0,0,0,0,206,25.2,73,20,26.3,13.7,1.06,0.03,1399,1,100,60
2023-04-15 00:00:00,22:00:00,23.2,23.4,23.2,88,21.1,0.9,NNW,3.22,1.8,NNW,23.2,24.3,24.3,---,930.9,0,0,0,0,0,0,201,25.1,73,19.9,26.2,13.71,1.0609,0.03,1400,1,100,60
